Memory Utilization (%),
1512716518,0
1512716528,0
1512716538,0
1512716548,0
1512716558,0
1512716568,0
1512716578,0
1512716588,0
1512716598,0
1512716608,0
1512716618,0
1512716628,0
1512716638,0
1512716648,0
1512716658,0
1512716668,0
1512716678,0
1512716688,0
1512716698,0
1512716708,0
1512716718,0
1512716728,0
1512716738,0
1512716748,0
1512716758,0
1512716768,0
1512716778,0
1512716788,0
1512716798,0
1512716808,0
1512716818,0
1512716828,0
1512716838,0
1512716848,0
1512716858,0
1512716868,0
1512716878,0
1512716888,0
1512716898,0
1512716908,0
1512716918,0
1512716928,0
1512716938,0
1512716948,0
1512716958,0
1512716968,0
1512716978,0
1512716988,0
1512716998,0
1512717008,0
1512717018,0
1512717028,0
1512717038,0
1512717048,0
1512717058,0
1512717068,0
1512717078,0
1512717088,0
1512717098,0
1512717108,0
1512717118,0
1512717128,0
1512717138,0
1512717148,0
1512717158,0
1512717168,0
1512717178,0
1512717188,0
1512717198,0
1512717208,0
1512717218,0
1512717228,0
1512717238,0
1512717248,0
1512717258,0
1512717268,0
1512717278,0
1512717288,0
1512717298,0
1512717308,0
1512717318,0
1512717328,0
1512717338,0
1512717348,0
1512717358,0
1512717368,0
1512717378,0
1512717388,0
1512717398,0
1512717408,0
1512717418,0
1512717428,0
1512717438,0.59347181
1512717448,97.76357827
1512717458,97.76357827
1512717468,97.76357827
1512717478,97.76357827
1512717488,97.76357827
1512717498,97.76357827
1512717508,97.76357827
1512717518,97.76357827
1512717528,97.76357827
1512717538,97.76357827
1512717548,97.76357827
1512717558,97.76357827
1512717568,97.76357827
1512717578,97.76357827
1512717588,97.76357827
1512717598,97.76357827
1512717608,97.76357827
1512717618,97.76357827
1512717628,97.76357827
1512717638,97.76357827
1512717648,97.76357827
1512717658,97.76357827
1512717668,97.76357827
1512717678,97.76357827
1512717688,97.76357827
1512717698,97.76357827
1512717708,97.76357827
1512717718,97.76357827
1512717728,97.76357827
1512717738,97.76357827
1512717748,97.76357827
1512717758,97.76357827
1512717768,97.76357827
1512717778,97.76357827
1512717788,97.76357827
1512717798,97.76357827
1512717808,97.76357827
1512717818,97.76357827
1512717828,97.76357827
1512717838,97.76357827
1512717848,97.76357827
1512717858,97.76357827
1512717868,97.76357827
1512717878,97.76357827
1512717888,0
1512717898,0
1512717908,0
1512717918,0
1512717928,0
1512717938,0
1512717948,0
1512717958,0
1512717968,0
1512717978,0
1512717988,0
1512717998,0
1512718008,0
1512718018,0
1512718028,0
1512718038,0
1512718048,0
1512718058,0
1512718068,0
1512718078,0
1512718088,0
1512718098,0
1512718108,0
1512718118,0
1512718128,0
1512718138,0
1512718148,0
1512718158,0
1512718168,0
1512718178,0
1512718188,0
1512718198,0
1512718208,0
1512718218,0
1512718228,0
1512718238,0
1512718248,0
1512718258,0
1512718268,0
1512718278,0
1512718288,0
1512718298,0
1512718308,0
1512718318,0
1512718328,0
1512718338,0
1512718348,0
1512718358,0
1512718368,0
1512718378,0
1512718388,0
1512718398,0
1512718408,0
1512718418,0
1512718428,0
1512718438,0
1512718448,0
1512718458,0
1512718468,0
1512718478,0
1512718488,0
1512718498,0
1512718508,0
1512718518,0
1512718528,0
1512718538,0
1512718548,0
1512718558,0
1512718568,0
1512718578,0
1512718588,0
1512718598,0
1512718608,0
1512718618,0
1512718628,0
1512718638,0
1512718648,0
1512718658,0
1512718668,0
1512718678,0
1512718688,0
1512718698,0
1512718708,0
1512718718,0
1512718728,0
1512718738,0
1512718748,0
1512718758,0
1512718768,0
1512718778,0
1512718788,0
1512718798,0
1512718808,0
1512718818,0
1512718828,0
1512718838,0
1512718848,0
1512718858,0
1512718868,0
1512718878,0
1512718888,0
1512718898,0
1512718908,0
1512718918,0
1512718928,0
1512718938,0
1512718948,0
1512718958,0
1512718968,0
1512718978,0
1512718988,0
1512718998,0
1512719008,0
1512719018,0
1512719028,0
1512719038,0
1512719048,0
1512719058,0
1512719068,0
1512719078,0
1512719088,0
1512719098,0
1512719108,0
1512719118,0
1512719128,0
1512719138,0
1512719148,0
1512719158,0
1512719168,0
1512719178,0
1512719188,0
1512719198,0
1512719208,0
1512719218,0
1512719228,0
1512719238,0
1512719248,0
1512719258,0
1512719268,0
1512719278,0
1512719288,0
1512719298,0
1512719308,0
1512719318,0
1512719328,0
1512719338,0
1512719348,0
1512719358,0
1512719368,0
1512719378,0
1512719388,0
1512719398,0
1512719408,0
1512719418,0
1512719428,0
1512719438,0
1512719448,0
1512719458,0
1512719468,0
1512719478,0
1512719488,0
1512719498,0
1512719508,
